Name of Food Stuff,Energy,Moisture,Protein,Fat,Minerals,Fibre,Carbos,Calcium,Phosphorous,Iron
,(Kcals),(g),(g),(g),(g),(g),(g),(mg),(mg),(mg)
,,,,,,,,,,
common foods,,,,,,,,,,
,,,,,,,,,,
*Nutritive value / 100 gms of raw ingredients,,,,,,,,,,
BAJRA,361,12,12,5,2,1,67,42,296,8
BARLEY,336,12,11,1,1,4,70,26,215,2
ITALIAN MILLET,331,11,12,4,3,8,61,31,290,3
JOWAR,349,12,10,2,2,2,73,25,222,4
"MAIZE, dry",342,15,11,4,1,3,66,10,348,2
"MAIZE, tender",125,67,5,1,1,2,25,9,121,1
PANIVARAGU,341,12,12,1,2,2,70,14,206,1
RAGI,328,13,7,1,3,4,72,344,283,4
"RICE, parboiled, handpounded",349,13,8,1,1,-,77,10,280,3
"RICE, parboiled, milled",346,13,6,0,1,0,79,9,143,1
"RICE, raw, handpounded",346,13,7,1,1,1,77,10,190,3
"RICE, raw, milled",345,14,7,0,1,0,78,10,160,1
"RICE, bran",393,11,13,16,7,4,48,67,1410,35
"RICE, flakes",346,12,7,1,2,1,77,20,238,20
"RICE, puffed",325,15,7,0,4,0,74,23,150,7
SAMAI,341,11,8,5,1,8,67,17,220,9
SANWA MILLET,307,12,6,2,4,10,65,20,280,5
VARAGU,309,13,8,1,3,9,66,27,188,0
"WHEAT, bulgar (parboiled)",356,10,8,2,1,2,77,37,298,5
"WHEAT, whole",346,13,12,1,1,1,71,41,306,5
"WHEAT, flour (whole)",341,12,12,2,3,2,69,48,355,5
"WHEAT, flour (refined)",348,13,11,1,1,0,74,23,121,3
"WHEAT, germ",397,5,29,7,3,1,53,40,846,6
"WHEAT, semolina",348,-,10,1,-,0,75,16,102,2
"WHEAT, vermicelli",352,12,9,0,1,0,78,22,92,2
"WHEAT, bread (brown)",244,39,9,1,-,1,49,18,-,2
"WHEAT, bread (white)",245,39,8,1,-,0,52,11,-,1
,,,,,,,,,,
PULSES AND LEGUMES,,,,,,,,,,
,,,,,,,,,,
"BENGAL GRAM, whole",360,10,17,5,3,4,61,202,312,5
"BENGAL GRAM, dhal",372,10,21,6,3,1,60,56,331,5
"BENGAL GRAM, roasted",369,11,22,5,2,1,58,58,340,9
"BLACK GRAM, dhal",347,11,24,1,3,1,60,154,385,4
COW PEA,323,13,24,1,3,3,54,77,414,9
"FIELD BEAN, dry",347,10,25,1,3,1,60,60,433,3
"GREAN GRAM, whole",334,10,24,1,3,4,57,124,326,4
"GREEN GRAM, dhal",348,10,24,1,3,1,60,75,405,4
"HORSE GRAM, whole",321,12,22,0,3,5,57,287,311,7
"KHESARI, dhal",345,10,28,1,2,2,57,90,317,6
LENTIL,343,12,25,1,2,1,59,69,293,7
MOTH BEANS,330,11,24,1,3,4,56,202,230,9
PEAS green,93,73,7,0,1,4,16,20,139,1
PEAS dry,315,16,20,1,2,4,56,75,298,7
PEAS roasted,340,10,23,1,2,4,59,81,345,6
RAJMAH,346,12,23,1,3,5,61,260,410,5
"REDGRAM, dhal",335,13,22,2,3,1,58,73,304,3
REDGRAM (tender),116,65,10,1,1,6,17,57,164,1
SOYABEAN,432,8,43,19,5,4,21,240,690,10
,,,,,,,,,,
Leafy Vegetables ,,,,,,,,,,
,,,,,,,,,,
AGATHI,93,73,8,1,3,2,12,1130,80,4
AMARANTH caudatus,26,90,3,1,3,1,2,200,40,-
AMARANTH gangeticus (tender),45,86,4,0,3,1,6,397,83,3
AMARANTH gangeticus (stem),19,92,1,0,2,1,3,260,30,2
AMARANTH paniculatus,67,79,6,1,4,2,9,530,60,18
AMARANTH polygonoides,33,90,3,0,2,-,5,251,55,27
AMARANTH spinosus,43,85,3,0,4,1,7,800,50,23
AMARANTH species (Chakravarthikeerai),57,81,4,1,4,2,8,321,71,18
AMARANTH  (Koyakeerai),37,88,3,0,1,2,5,292,51,2
AMARANTH tristis,44,87,3,0,2,-,7,364,52,38
